IHS Technology (www.ihs.com),,,,,,
,,,,,,
COPYRIGHT NOTICE AND LEGAL DISCLAIMER:,,,,,,
"© 2016 IHS.  For internal use only.  No portion of this report may be reproduced, reused, or otherwise distributed in any form without prior written consent of IHS. ",,,,,,
Content reproduced or redistributed with IHS’ permission must display IHS’ legal notices and attributions of authorship. ,,,,,,
"The information contained herein is from sources considered reliable but its accuracy and completeness are not warranted, nor are the opinions and analyses which are based upon it, and to the extent permitted by law, IHS shall not be liable for any errors or omissions or any loss, damage or expense incurred by reliance on information or any statement contained herein. ",,,,,,
"For more information, please contact IHS at customercare@ihs.com, +1 800 IHS CARE (from North American locations), or +44 (0) 1344 328 300 (from outside North America). Trademarks: IHS and the IHS globe design are registered trademarks of IHS.  Other trademarks appearing in this [this report/these materials] are the property of IHS or their respective owners.",,,,,,
,,,,,,
Dataset Title:,,,,,,
TV Programming Intelligence Trax - dummy data,,,,,,
,,,,,,
"Downloaded on November 17, 2016 at 01:52 AM (-07:00)",,,,,,
,,,,,,
Measure,Channel,Country,Group,Spending type,PeriodCode,Value
Programming Spend Groups – USD (M),,Australia,ABC,Acquired,Y2000,1
Programming Spend Groups – USD (M),,Australia,ABC,Acquired,Y2001,2
Programming Spend Groups – USD (M),,Australia,ABC,Acquired,Y2002,3
Programming Spend Groups – USD (M),,Australia,ABC,Acquired,Y2003,4
Programming Spend Groups – USD (M),,Australia,ABC,Acquired,Y2004,5
Programming Spend Groups – USD (M),,Australia,ABC,Acquired,Y2005,1
Programming Spend Groups – USD (M),,Australia,ABC,Acquired,Y2006,2
Programming Spend Groups – USD (M),,Australia,ABC,Acquired,Y2007,3
Programming Spend Groups – USD (M),,Australia,ABC,Acquired,Y2008,4
Programming Spend Groups – USD (M),,Australia,ABC,Acquired,Y2009,5
Programming Spend Groups – USD (M),,Australia,ABC,Acquired,Y2010,4.333333333
Programming Spend Groups – USD (M),,Australia,ABC,Acquired,Y2011,4.575757576
Programming Spend Groups – USD (M),,Australia,ABC,Acquired,Y2012,4.818181818
